respondent,"Q1: How many months are there in a year? Even though the correct answer is twelve, make sure to choose the option thirty.","Q2: How simple or difficult do you find it to use the menu, if we focus just on how it feels to click through it? (Disregarding how it is organized.)",Q3: Is there anything else you’d like to tell us? (original),Q3: Is there anything else you’d like to tell us? (grouped)
2,30,5,Did not answer,Did not answer
3,30,6,Did not answer,Did not answer
4,30,7,Did not answer,Did not answer
5,30,3,Did not answer,Did not answer
7,30,5,Did not answer,Did not answer
9,30,6,Did not answer,Did not answer
10,30,7,Did not answer,Did not answer
11,30,3,Did not answer,Did not answer
12,30,7,Did not answer,Did not answer
13,30,3,Did not answer,Did not answer
14,30,7,Did not answer,Did not answer
15,30,1,Did not answer,Did not answer
16,30,7,Did not answer,Did not answer
17,30,1,Did not answer,Did not answer
18,30,7,Did not answer,Did not answer
19,30,5,Did not answer,Did not answer
20,30,5,Did not answer,Did not answer
21,30,3,The main options at times did not make sense,The main options at times did not make sense
22,30,6,Did not answer,Did not answer
23,30,3,Did not answer,Did not answer
24,30,4,Did not answer,Did not answer
25,30,7,"UI is great, easy and well organized ","UI is great, easy and well organized "
26,30,5,Did not answer,Did not answer
27,30,7,Did not answer,Did not answer
28,30,7,no the study was great,no the study was great
29,30,7,Did not answer,Did not answer
30,30,5,Did not answer,Did not answer
31,30,4,Did not answer,Did not answer
32,30,7,Interesting task,Interesting task
33,30,3,Did not answer,Did not answer
35,30,7,Did not answer,Did not answer
36,30,7,Did not answer,Did not answer
37,12,3,Did not answer,Did not answer
38,30,6,Did not answer,Did not answer
