respondent,Q1: How old are you?,Q2: Which gender do you identify as?,Q3: What is the highest education level you have completed?,"Q4: What is your personal income per year, after tax?",Q5: How often do you browse the web?,Q6: How often do you visit online magazines or news websites?,"Q7: If you visit online magazines or news websites, provide some examples: (original)","Q7: If you visit online magazines or news websites, provide some examples: (grouped)","Q8: You may love pizza or ice cream. But when we ask you what you would order in the restaurant, you need to choose a salad."
6,18 - 27,Man,Graduate degree,"£20,000 - £29,999",Few times a day,From time to time (weekly),bbc news,bbc news,Salad
7,18 - 27,Man,High school diploma,"£10,000 - £19,999",Few times a day,Never,Did not answer,Did not answer,Salad
9,18 - 27,Man,Graduate degree,"£20,000 - £29,999",For the major part of the day,Very sporadically (monthly),BBC News,bbc news,Salad
10,18 - 27,Man,High school diploma,No income,For the major part of the day,Daily,BBC News,bbc news,Salad
11,18 - 27,Man,Undergraduate degree,"£20,000 - £29,999",Few times a day,Very sporadically (monthly),"Bbc UK, telegraph","Bbc UK, telegraph",Salad
12,18 - 27,Man,Undergraduate degree,"£10,000 - £19,999",For the major part of the day,Daily,"Vouge, New York Times, BBC food","Vouge, New York Times, BBC food",Salad
14,18 - 27,Man,Undergraduate degree,"£40,000 - £49,999",Few times a day,Daily,"Guardian, bbc, reuters","Guardian, bbc, reuters",Salad
17,18 - 27,Woman,Undergraduate degree,"£20,000 - £29,999",Few times a day,Never,Did not answer,Did not answer,Salad
18,18 - 27,Woman,Graduate degree,"£30,000 - £39,999",Few times a day,Never,Did not answer,Did not answer,Salad
19,28 - 37,Man,High school diploma,"£30,000 - £39,999",For the major part of the day,Never,Did not answer,Did not answer,Salad
20,38 - 47,Woman,None completed,"£10,000 - £19,999",For the major part of the day,From time to time (weekly),"Daily Mail ","Daily Mail ",Salad
21,48 - 57,Woman,Graduate degree,"£75,000 - £100,000",Few times a day,Daily,"Telegraph, news app on iPhone , daily mail app, press reader","Telegraph, news app on iPhone , daily mail app, press reader",Salad
22,38 - 47,Woman,Undergraduate degree,"£10,000 - £19,999",Few times a day,From time to time (weekly),"Daioy Mail, sun","Daioy Mail, sun",Salad
24,38 - 47,Woman,Graduate degree,"£40,000 - £49,999",For the major part of the day,Daily,"Daily Mail, BBC, Guardian, ","Daily Mail, BBC, Guardian, ",Salad
25,28 - 37,Woman,Secondary education,"£0 - £9,999",Few times a day,Never,Did not answer,Did not answer,Salad
27,28 - 37,Woman,Undergraduate degree,"£10,000 - £19,999",Few times a day,Never,Did not answer,Did not answer,Salad
28,18 - 27,Woman,Undergraduate degree,"£0 - £9,999",For the major part of the day,Daily,"The Guardian, BBC, Pro-Landscaper","The Guardian, BBC, Pro-Landscaper",Salad
30,28 - 37,Man,Graduate degree,"£50,000 - £74,999",For the major part of the day,From time to time (weekly),"Guardian, bbc, pitchfork","Guardian, bbc, pitchfork",Salad
31,18 - 27,Woman,Secondary education,"£10,000 - £19,999",Few times a day,Never,Did not answer,Did not answer,Salad
32,28 - 37,Woman,Undergraduate degree,"£20,000 - £29,999",For the major part of the day,Daily,"BBC news, buzzfeed, refinery29, cosmopolitan","BBC news, buzzfeed, refinery29, cosmopolitan",Salad
33,48 - 57,Woman,Technical/community college,"£75,000 - £100,000",Few times a day,Very sporadically (monthly),The times,The times,Salad
34,18 - 27,Woman,Undergraduate degree,No income,For the major part of the day,Very sporadically (monthly),Guadian,Guadian,Salad
35,28 - 37,Man,Doctorate degree,"£40,000 - £49,999",Few times a day,From time to time (weekly),"Bbc, the guardian","Bbc, the guardian",Salad
36,28 - 37,Man,Undergraduate degree,"£10,000 - £19,999",For the major part of the day,From time to time (weekly),"The Guardian, Aeon, Medium","The Guardian, Aeon, Medium",Salad
37,38 - 47,Man,Undergraduate degree,"£30,000 - £39,999",For the major part of the day,From time to time (weekly),"Guardian, BBC","Guardian, BBC",Salad
38,28 - 37,Woman,High school diploma,"£0 - £9,999",Few times a day,Never,Did not answer,Did not answer,Salad
39,38 - 47,Man,High school diploma,"£30,000 - £39,999",Few times a day,From time to time (weekly),"Daily Mirror ","Daily Mirror ",Salad
40,38 - 47,Man,Secondary education,"£0 - £9,999",For the major part of the day,Daily,"Sky news, bbc news","Sky news, bbc news",Salad
41,48 - 57,Man,Undergraduate degree,"£20,000 - £29,999",For the major part of the day,Daily,BBC,BBC,Salad
42,58+,Man,Undergraduate degree,"£30,000 - £39,999",Few times a day,Daily,"Bbc news, sky news, yahoo news","Bbc news, sky news, yahoo news",Salad
43,48 - 57,Man,Undergraduate degree,"£50,000 - £74,999",Few times a day,Daily,"BBC, times, telegraph ","BBC, times, telegraph ",Salad
44,58+,Woman,Undergraduate degree,"£10,000 - £19,999",Few times a day,Daily,"Daily Mail news, access variety of magazines via Libby app, my local newspaper, BBC news app","Daily Mail news, access variety of magazines via Libby app, my local newspaper, BBC news app",Salad
45,28 - 37,Man,Undergraduate degree,"£20,000 - £29,999",For the major part of the day,Daily,"BBC, The Guardian","Bbc, the guardian",Salad
46,18 - 27,Woman,Undergraduate degree,"£20,000 - £29,999",For the major part of the day,From time to time (weekly),"BBC ",BBC,Salad
47,48 - 57,Man,Graduate degree,"£20,000 - £29,999",Few times a day,Very sporadically (monthly),UK daily newspapers if an article catches my attention,UK daily newspapers if an article catches my attention,Salad
48,58+,Man,Secondary education,"£30,000 - £39,999",Few times a day,Daily,"Mail on Sunday daily mail ","Mail on Sunday daily mail ",Salad
49,58+,Man,Undergraduate degree,"£20,000 - £29,999",For the major part of the day,Daily,BBC,BBC,Salad
