order,identifier,status,included in analysis,started at,ip,device,os,browser,location,time taken,questions answered,tasks completed,tasks skipped,tasks closed,tasks successful
6,,completed,true,2024-02-15 15:24:23,,desktop,Windows,Edge,GB,00:09:26,81.8%,100.0%,0.0%,0.0%,100.0%
7,,completed,true,2024-02-15 15:28:31,,desktop,Windows,Edge,GB,00:09:44,70.5%,100.0%,0.0%,0.0%,100.0%
9,,completed,true,2024-02-15 16:19:34,,smartphone,Android,Chrome,GB,00:13:19,72.7%,100.0%,0.0%,0.0%,100.0%
10,,completed,true,2024-02-16 08:06:32,,smartphone,Android,Chrome,GB,00:09:48,79.5%,100.0%,0.0%,0.0%,100.0%
11,,completed,true,2024-02-16 08:11:49,,smartphone,Android,Chrome,GB,00:12:46,72.7%,100.0%,0.0%,0.0%,100.0%
12,,completed,true,2024-02-16 08:29:28,,smartphone,iOS,Chrome,GB,00:14:43,79.5%,100.0%,0.0%,0.0%,100.0%
13,,abandoned,false,2024-02-16 09:21:47,,smartphone,Android,Chrome,GB,00:03:12,18.2%,0.0%,0.0%,0.0%,0.0%
14,,completed,true,2024-02-16 09:31:31,,smartphone,iOS,Safari,GB,00:10:29,68.2%,90.9%,0.0%,9.1%,90.9%
15,,abandoned,false,2024-02-21 14:52:11,,smartphone,Android,Samsung Internet,SK,00:00:43,20.5%,9.1%,0.0%,0.0%,9.1%
16,,abandoned,false,2024-02-21 17:53:00,,smartphone,Android,Samsung Internet,SK,,0.0%,0.0%,0.0%,0.0%,0.0%
17,,completed,true,2024-02-21 15:00:36,,smartphone,iOS,Safari,IT,00:06:39,70.5%,100.0%,0.0%,0.0%,100.0%
18,,completed,true,2024-02-21 15:05:34,,smartphone,iOS,Safari,GB,00:06:27,75.0%,100.0%,0.0%,0.0%,100.0%
19,,completed,true,2024-02-21 15:10:22,,smartphone,iOS,Firefox,GB,00:08:51,70.5%,100.0%,0.0%,0.0%,100.0%
20,,completed,true,2024-02-21 15:10:29,,smartphone,iOS,Safari,GB,00:07:35,72.7%,100.0%,0.0%,0.0%,100.0%
21,,completed,true,2024-02-21 15:10:41,,smartphone,iOS,Safari,GB,00:15:21,72.7%,100.0%,0.0%,0.0%,100.0%
22,,completed,true,2024-02-21 15:11:19,,smartphone,Android,Chrome,GB,00:12:38,75.0%,100.0%,0.0%,0.0%,100.0%
