respondent,T1Q1: I felt sure about my answer.,T1Q2: It was easy to complete this task.,T1Q3: Is there any further information you would like to add about this task? (original),T1Q3: Is there any further information you would like to add about this task? (grouped),T2Q1: I felt sure about my answer.,T2Q2: It was easy to complete this task.,T2Q3: Is there any further information you would like to add about this task? (original),T2Q3: Is there any further information you would like to add about this task? (grouped),T3Q1: I felt sure about my answer.,T3Q2: It was easy to complete this task.,T3Q3: Is there any further information you would like to add about this task? (original),T3Q3: Is there any further information you would like to add about this task? (grouped),T4Q1: I felt sure about my answer.,T4Q2: It was easy to complete this task.,T4Q3: Is there any further information you would like to add about this task? (original),T4Q3: Is there any further information you would like to add about this task? (grouped),T5Q1: I felt sure about my answer.,T5Q2: It was easy to complete this task.,T5Q3: Is there any further information you would like to add about this task? (original),T5Q3: Is there any further information you would like to add about this task? (grouped),T6Q1: I felt sure about my answer.,T6Q2: It was easy to complete this task.,T6Q3: Is there any further information you would like to add about this task? (original),T6Q3: Is there any further information you would like to add about this task? (grouped),T7Q1: I felt sure about my answer.,T7Q2: It was easy to complete this task.,T7Q3: Is there any further information you would like to add about this task? (original),T7Q3: Is there any further information you would like to add about this task? (grouped),T8Q1: I felt sure about my answer.,T8Q2: It was easy to complete this task.,T8Q3: Is there any further information you would like to add about this task? (original),T8Q3: Is there any further information you would like to add about this task? (grouped),T9Q1: I felt sure about my answer.,T9Q2: It was easy to complete this task.,T9Q3: Is there any further information you would like to add about this task? (original),T9Q3: Is there any further information you would like to add about this task? (grouped),T10Q1: I felt sure about my answer.,T10Q2: It was easy to complete this task.,T10Q3: Is there any further information you would like to add about this task? (original),T10Q3: Is there any further information you would like to add about this task? (grouped),T11Q1: I felt sure about my answer.,T11Q2: It was easy to complete this task.,T11Q3: Is there any further information you would like to add about this task? (original),T11Q3: Is there any further information you would like to add about this task? (grouped)
2,6,7,,,6,6,,,7,6,,,5,5,,,7,6,,,6,5,,,6,6,,,4,4,,,4,5,,,5,6,,,6,6,,
3,6,7,,,7,7,,,7,7,,,7,7,,,7,7,,,7,7,,,7,7,,,7,7,,,7,7,,,5,7,,,7,7,,
4,7,7,,,6,6,,,6,6,,,7,6,,,5,5,,,6,6,,,7,5,,,7,7,,,5,5,,,5,5,,,7,7,,
5,7,6,,,7,5,,,3,5,,,7,4,,,4,3,,,7,2,,,3,3,,,6,2,,,4,3,,,2,2,,,7,5,,
6,6,7,,,7,6,,,5,6,,,7,3,,,5,6,,,6,6,,,7,7,,,6,6,,,6,6,,,5,6,,,7,3,,
8,6,6,None,None,7,7,None,None,7,7,None,None,6,6,None,None,7,7,None,None,6,6,None,None,6,6,None,None,6,6,None,None,5,5,None,None,7,7,None,None,7,7,None,None
9,7,7,,,7,7,,,5,7,,,7,7,,,7,7,,,7,7,,,7,7,,,2,1,,,7,7,,,5,6,,,7,7,,
10,7,7,,,7,7,,,7,7,,,3,2,Still no obvious 'sports' section,Still no obvious 'sports' section,5,7,,,7,7,"I don't expect clothes to be under beauty, beauty is more makeup and hair, whereas fashion feels like its own topic","I don't expect clothes to be under beauty, beauty is more makeup and hair, whereas fashion feels like its own topic",7,6,,,6,1,"It made no sense, it took me ages to find","It made no sense, it took me ages to find",6,6,,,3,4,,,7,6,,
11,7,7,,,7,7,,,7,7,,,7,7,,,6,7,,,7,7,,,7,7,,,7,6,,,6,7,,,5,7,,,7,6,,
12,6,6,,,6,6,,,5,5,,,2,2,I couldn't find the relevant section- expected it to be under entertainment,I couldn't find the relevant section- expected it to be under entertainment,6,5,I expected to find it under lifestyle rather than hobbies,I expected to find it under lifestyle rather than hobbies,6,6,,,6,6,,,6,5,,,6,6,,,2,2,"Could not find the relevant section- expected a ""health news"" category","Could not find the relevant section- expected a ""health news"" category",6,6,,
13,7,7,,,7,7,,,7,7,,,6,7,,,5,7,,,6,7,,,6,7,,,3,5,,,6,6,,,6,7,,,7,7,,
14,7,7,None,None,6,6,None,None,5,5,,,6,4,,,5,3,None,None,5,5,None,None,6,6,none,None,6,5,,,4,3,None,None,5,6,None,None,6,6,None,None
15,7,7,none,None,6,6,,,7,7,,,6,6,,,6,6,,,5,5,,,3,3,not really a topic i know much ABOUT,not really a topic i know much ABOUT,3,3,,,2,2,,,4,4,,,6,6,,
