respondent,T1Q1: I felt sure about my answer.,T1Q2: It was easy to complete this task.,T1Q3: Is there any further information you would like to add about this task? (original),T1Q3: Is there any further information you would like to add about this task? (grouped),T2Q1: I felt sure about my answer.,T2Q2: It was easy to complete this task.,T2Q3: Is there any further information you would like to add about this task? (original),T2Q3: Is there any further information you would like to add about this task? (grouped),T3Q1: I felt sure about my answer.,T3Q2: It was easy to complete this task.,T3Q3: Is there any further information you would like to add about this task? (original),T3Q3: Is there any further information you would like to add about this task? (grouped),T4Q1: I felt sure about my answer.,T4Q2: It was easy to complete this task.,T4Q3: Is there any further information you would like to add about this task? (original),T4Q3: Is there any further information you would like to add about this task? (grouped),T5Q1: I felt sure about my answer.,T5Q2: It was easy to complete this task.,T5Q3: Is there any further information you would like to add about this task? (original),T5Q3: Is there any further information you would like to add about this task? (grouped),T6Q1: I felt sure about my answer.,T6Q2: It was easy to complete this task.,T6Q3: Is there any further information you would like to add about this task? (original),T6Q3: Is there any further information you would like to add about this task? (grouped),T7Q1: I felt sure about my answer.,T7Q2: It was easy to complete this task.,T7Q3: Is there any further information you would like to add about this task? (original),T7Q3: Is there any further information you would like to add about this task? (grouped),T8Q1: I felt sure about my answer.,T8Q2: It was easy to complete this task.,T8Q3: Is there any further information you would like to add about this task? (original),T8Q3: Is there any further information you would like to add about this task? (grouped),T9Q1: I felt sure about my answer.,T9Q2: It was easy to complete this task.,T9Q3: Is there any further information you would like to add about this task? (original),T9Q3: Is there any further information you would like to add about this task? (grouped),T10Q1: I felt sure about my answer.,T10Q2: It was easy to complete this task.,T10Q3: Is there any further information you would like to add about this task? (original),T10Q3: Is there any further information you would like to add about this task? (grouped),T11Q1: I felt sure about my answer.,T11Q2: It was easy to complete this task.,T11Q3: Is there any further information you would like to add about this task? (original),T11Q3: Is there any further information you would like to add about this task? (grouped)
3,7,7,,,7,5,,,7,6,,,7,5,,,7,7,,,6,6,,,7,5,,,4,3,,,4,4,,,7,6,,,3,3,,
4,7,7,,,7,7,,,7,7,,,3,6,"Hard to find any categories with Sport ","Hard to find any categories with Sport ",6,7,,,5,7,,,7,7,,,7,7,,,6,7,,,7,7,,,7,7,,
5,7,7,,,7,7,,,7,7,,,3,3,,,6,6,,,6,5,,,5,6,,,6,6,,,6,6,,,6,6,,,7,7,,
6,7,7,Easy to find!,Easy to find!,6,6,,,6,6,"I'd hope this section would also show me where my closest cinema is, or some type of store locator option maybe.","I'd hope this section would also show me where my closest cinema is, or some type of store locator option maybe.",7,7,,,7,7,,,7,7,,,5,5,,,1,1,"I couldn't find any specific place where it mentioned technology or laptops specifically, or at least in terms of recommendations, maybe I missed it but I felt as though I had looked properly through the options available.","I couldn't find any specific place where it mentioned technology or laptops specifically, or at least in terms of recommendations, maybe I missed it but I felt as though I had looked properly through the options available.",5,6,,,6,6,,,7,7,,
7,6,7,,,7,7,,,6,7,,,6,7,,,5,6,,,5,7,,,4,6,,,4,6,,,6,7,,,4,5,,,6,7,,
10,6,7,,,7,5,,,6,4,wasn't sure if it would be under hobbies and then it was confusing with a separate section for films and cinemas,wasn't sure if it would be under hobbies and then it was confusing with a separate section for films and cinemas,7,2,"I think this should be under entertainment rather than sports because it is a form of entertainment to watch this and bet, whereas sports in the category hobbies would be sports that you take part in for me personally","I think this should be under entertainment rather than sports because it is a form of entertainment to watch this and bet, whereas sports in the category hobbies would be sports that you take part in for me personally",7,2,"very difficult to know what category it would be under, I tried lifestyle and culture before hobbies","very difficult to know what category it would be under, I tried lifestyle and culture before hobbies",6,4,"I would have presumed it would be under a fashion category rather than clothes as that sounds more fitting for up to date clothing. ","I would have presumed it would be under a fashion category rather than clothes as that sounds more fitting for up to date clothing. ",1,3,"I wouldn't know what category of history middle ages would fall under. I guessed but I don't think it was right ","I wouldn't know what category of history middle ages would fall under. I guessed but I don't think it was right ",4,1,"This has been the hardest one so far. I don't think that should be under science at all. Similar to fashion, I think they should be under a similar heading with latest products to buy all together. Being under science indicates more learning about computers rather than purchasing one","This has been the hardest one so far. I don't think that should be under science at all. Similar to fashion, I think they should be under a similar heading with latest products to buy all together. Being under science indicates more learning about computers rather than purchasing one",7,6,,,1,4,"I don't think it would come under research but there isn't an option it would fit better. Treatments doesn't include how to avoid it and symptoms and if it does it should be named something else ","I don't think it would come under research but there isn't an option it would fit better. Treatments doesn't include how to avoid it and symptoms and if it does it should be named something else ",7,3,"looked at lifestyle first as I would have thought it would be under there more than society ","looked at lifestyle first as I would have thought it would be under there more than society "
11,7,7,,,7,7,,,5,5,,,7,6,,,5,5,,,5,5,,,7,7,,,6,5,,,5,5,,,5,5,,,7,7,,
12,6,6,"I thought about choosing ""our picks"" instead of ""popular"" because i assume many people click them and also the editing team probably puts the most popular articles in the ""our picks"" section","I thought about choosing ""our picks"" instead of ""popular"" because i assume many people click them and also the editing team probably puts the most popular articles in the ""our picks"" section",6,5,"i would expect a game show on tv to be fun and have a lot of jokes, and if i'm with my friends it will be fun to watch tv all together","i would expect a game show on tv to be fun and have a lot of jokes, and if i'm with my friends it will be fun to watch tv all together",7,7,,,7,7,,,6,6,culture could have also been a good place to look,culture could have also been a good place to look,7,7,,,7,7,,,6,5,,,7,6,zoology is a little general but i'll probably find it there,zoology is a little general but i'll probably find it there,4,4,"i am quite unsure about this one but i feel that , as an average person with no medical background, you can find anything you need in the treatments session, while i would leave the research session to a professional","i am quite unsure about this one but i feel that , as an average person with no medical background, you can find anything you need in the treatments session, while i would leave the research session to a professional",7,7,,
13,7,7,,,7,6,,,2,4,,,6,6,,,3,5,,,6,6,,,3,5,,,5,4,,,4,5,,,5,6,,,6,6,,
14,6,5,,,7,7,,,7,7,,,4,4,,,7,7,,,7,7,,,6,6,,,5,5,,,6,6,,,5,5,,,7,7,,
