respondent number,task number,task text,result,time spent (seconds),path,first click,destination
3,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,13,Trending > Popular articles,Trending,Popular articles
3,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,indirect success,26,Entertainment > Films > Films > TV shows > Top rated > Top rated > Films > Reviews > Reviews > Genres > Comedy,Entertainment,Comedy
3,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,19,Lifestyle > Lifestyle > Entertainment > Cinema > Cinemas near you,Lifestyle,Cinemas near you
3,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,14,Hobbies > Food > Cooking > Cooking > Recipes,Hobbies,Recipes
3,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect failure,38,Lifestyle > Personal development > Personal development > Finances > Finances > Personal development > Self-growth > Self-growth < Lifestyle > Hobbies > Hobbies > Culture > Culture > About us > About us > Lifestyle > Personal development > Self-growth,Lifestyle,Self-growth
3,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,34,Entertainment > Games > Games < Entertainment > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
3,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,19,Trending > Latest articles > Latest articles < Trending > Hobbies > Hobbies > Culture > Fashion > Latest trends,Trending,Latest trends
3,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect success,26,Society > Society > Lifestyle > Lifestyle > Culture > Science > Science > Culture > History > Medieval,Society,Medieval
3,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,29,Lifestyle > Lifestyle > Entertainment > Entertainment > Hobbies > Hobbies > Science > Technology > Computers and internet,Lifestyle,Computers and internet
3,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,52,Hobbies > Hobbies > Science > Environment > Environment > Biology > Zoology > Zoology < Biology < Science > Hobbies > Outdoors > Outdoors > Garden > Garden < Hobbies > Culture > Culture > Science > Biology > Zoology,Hobbies,Zoology
3,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,14,Science > Biology > Diseases,Science,Diseases
4,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,7,Trending > Popular articles,Trending,Popular articles
4,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,120.565,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
4,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,25,Entertainment > Films > Cinema > Cinemas near you,Entertainment,Cinemas near you
4,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,29,Lifestyle > Fitness > Culture > Hobbies > Food > Recipes > Cooking > Recipes,Lifestyle,Recipes
4,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,12,Culture > Society > Family and Relationships > Parenting,Culture,Parenting
4,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect failure,54,Entertainment > Trending > Trending > Culture > Society > Lifestyle > Trending > Trending > Entertainment > Games > Hobbies > Culture > Society > Lifestyle > Fitness > Trending > Our picks,Entertainment,Our picks
4,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct success,11,Culture > Fashion > New collections,Culture,New collections
4,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,17,Culture > History > Medieval,Culture,Medieval
4,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,14,Lifestyle > Science > Technology > Computers and internet,Lifestyle,Computers and internet
