respondent,"Q1: How many months are there in a year? Even though the correct answer is twelve, make sure to choose the option thirty.","Q2: How simple or difficult do you find it to use the menu, if we focus just on how it feels to click through it? (Disregarding how it is organized.)",Q3: Is there anything else you’d like to tell us? (original),Q3: Is there anything else you’d like to tell us? (grouped)
4,30,6,Did not answer,Did not answer
5,30,4,Did not answer,Did not answer
7,30,6,Did not answer,Did not answer
8,30,7,Did not answer,Did not answer
9,12,5,"It can be improved in some way. Not ideal, although it seemed fairly simple, I would prefer to use the search bar than messing around with a menu.","It can be improved in some way. Not ideal, although it seemed fairly simple, I would prefer to use the search bar than messing around with a menu."
12,30,5,Did not answer,Did not answer
13,30,7,Did not answer,Did not answer
14,30,6,Did not answer,Did not answer
16,30,5,Did not answer,Did not answer
17,30,6,Did not answer,Did not answer
19,30,4,Did not answer,Did not answer
21,30,7,Did not answer,Did not answer
22,30,7,No. Keep up the good work!,No. Keep up the good work!
24,12,7,Did not answer,Did not answer
25,30,7,Did not answer,Did not answer
26,30,6,Did not answer,Did not answer
29,30,6,Did not answer,Did not answer
30,30,6,Did not answer,Did not answer
32,30,7,no,no
36,30,6,Did not answer,Did not answer
38,30,6,Did not answer,Did not answer
39,30,5,Did not answer,Did not answer
40,30,6,Everything was easy to navigate just might have taken a few goes to find the correct section if a few were applicable,Everything was easy to navigate just might have taken a few goes to find the correct section if a few were applicable
41,30,6,Did not answer,Did not answer
42,30,6,No.,No.
44,30,4,Did not answer,Did not answer
46,30,5,Did not answer,Did not answer
47,30,7,"I enjoyed taking part in the study ","I enjoyed taking part in the study "
48,30,7,no,no
49,30,7,no,no
