respondent,Q1: How old are you?,Q2: Which gender do you identify as?,Q3: What is the highest education level you have completed?,"Q4: What is your personal income per year, after tax?",Q5: How often do you browse the web?,Q6: How often do you visit online magazines or news websites?,"Q7: If you visit online magazines or news websites, provide some examples: (original)","Q7: If you visit online magazines or news websites, provide some examples: (grouped)","Q8: You may love pizza or ice cream. But when we ask you what you would order in the restaurant, you need to choose a salad."
4,18 - 27,Man,Technical/community college,"£20,000 - £29,999",For the major part of the day,Very sporadically (monthly),"Mirror, The Sun","Mirror, The Sun",Salad
5,18 - 27,Man,Technical/community college,"£0 - £9,999",For the major part of the day,Daily,The Verge,The Verge,Salad
7,18 - 27,Man,Graduate degree,"£20,000 - £29,999",For the major part of the day,From time to time (weekly),NYT,NYT,Salad
8,18 - 27,Man,Secondary education,"£0 - £9,999",Few times a day,Daily,Did not answer,Did not answer,Salad
9,18 - 27,Man,High school diploma,"£20,000 - £29,999",For the major part of the day,Never,Did not answer,Did not answer,Salad
12,28 - 37,Man,Undergraduate degree,"£0 - £9,999",Few times a day,Very sporadically (monthly),Did not answer,Did not answer,Salad
13,28 - 37,Man,High school diploma,"£0 - £9,999",For the major part of the day,From time to time (weekly),infowars,infowars,Salad
14,18 - 27,Woman,Undergraduate degree,"£20,000 - £29,999",Few times a day,From time to time (weekly),"bbc news, itv news","bbc news, itv news",Salad
16,48 - 57,Woman,Technical/community college,"£20,000 - £29,999",For the major part of the day,From time to time (weekly),BBc News,BBc News,Salad
17,28 - 37,Man,High school diploma,"£0 - £9,999",Few times a day,Very sporadically (monthly),"BBC, Ground news","BBC, Ground news",Salad
19,28 - 37,Man,Graduate degree,"£30,000 - £39,999",Few times a day,Never,Did not answer,Did not answer,Salad
21,18 - 27,Woman,Technical/community college,"£20,000 - £29,999",Few times a day,Very sporadically (monthly),Did not answer,Did not answer,Salad
22,28 - 37,Woman,Undergraduate degree,"£20,000 - £29,999",For the major part of the day,Very sporadically (monthly),"medium, Vox, The Atlantic,Vice","medium, Vox, The Atlantic,Vice",Salad
24,18 - 27,Woman,Undergraduate degree,No income,Few times a day,Very sporadically (monthly),Daily Mail,Daily Mail,Salad
25,18 - 27,Woman,Undergraduate degree,"£10,000 - £19,999",For the major part of the day,Never,Did not answer,Did not answer,Salad
26,28 - 37,Woman,Undergraduate degree,"£0 - £9,999",Few times a day,Very sporadically (monthly),I don't remember. They are not specific sites it might be something from google that happens to be a magazine or news site,I don't remember. They are not specific sites it might be something from google that happens to be a magazine or news site,Salad
29,38 - 47,Woman,Undergraduate degree,"£20,000 - £29,999",For the major part of the day,Daily,"MailOnline, TheSun online","MailOnline, TheSun online",Salad
30,18 - 27,Woman,Undergraduate degree,"£20,000 - £29,999",Few times a day,Very sporadically (monthly),BBC News,BBc News,Salad
32,28 - 37,Woman,Technical/community college,"£20,000 - £29,999",For the major part of the day,From time to time (weekly),ok.co.uk,ok.co.uk,Salad
36,58+,Woman,High school diploma,"£20,000 - £29,999",For the major part of the day,Daily,bbc news,BBc News,Salad
38,28 - 37,Woman,Undergraduate degree,"£20,000 - £29,999",For the major part of the day,Never,Did not answer,Did not answer,Salad
39,38 - 47,Woman,Graduate degree,"£10,000 - £19,999",Few times a day,From time to time (weekly),"games rant, bbc news, sky news","games rant, bbc news, sky news",Salad
40,38 - 47,Man,Graduate degree,"£0 - £9,999",Few times a day,Daily,"BBC News, Daily Telegraph","BBC News, Daily Telegraph",Salad
41,48 - 57,Woman,Undergraduate degree,"£40,000 - £49,999",Few times a day,Daily,"BBC, New Scientist, Homes and Gardens.","BBC, New Scientist, Homes and Gardens.",Salad
42,38 - 47,Man,Technical/community college,"£40,000 - £49,999",For the major part of the day,Daily,"BBC News, Sky News, Guardian","BBC News, Sky News, Guardian",Salad
44,38 - 47,Man,Graduate degree,"£50,000 - £74,999",For the major part of the day,From time to time (weekly)," bbc,cnn"," bbc,cnn",Salad
46,58+,Man,Undergraduate degree,"£10,000 - £19,999",Few times a day,Very sporadically (monthly),Did not answer,Did not answer,Salad
47,38 - 47,Woman,Technical/community college,"£20,000 - £29,999",Few times a day,From time to time (weekly),"I visit Yahoo, sky and the guardian for news and weather reports","I visit Yahoo, sky and the guardian for news and weather reports",Salad
48,48 - 57,Man,Secondary education,"£20,000 - £29,999",From time to time (few times a week),Never,N/A,N/A,Salad
49,48 - 57,Man,Undergraduate degree,"£10,000 - £19,999",Few times a day,Daily,"bbc, skynews, mailonline, guardian","bbc, skynews, mailonline, guardian",Salad
