order,identifier,status,included in analysis,started at,ip,device,os,browser,location,time taken,questions answered,tasks completed,tasks skipped,tasks closed,tasks successful
4,,completed,true,2024-02-15 10:47:34,,desktop,Windows,Firefox,GB,00:10:06,77.3%,100.0%,0.0%,0.0%,100.0%
5,,completed,true,2024-02-15 10:49:11,,desktop,Windows,Edge,GB,00:08:02,72.7%,100.0%,0.0%,0.0%,100.0%
6,,abandoned,false,2024-02-15 10:49:51,,desktop,OS X,Chrome,GB,00:00:40,0.0%,0.0%,0.0%,0.0%,0.0%
7,,completed,true,2024-02-15 10:51:30,,desktop,OS X,Chrome,GB,00:10:38,72.7%,100.0%,0.0%,0.0%,100.0%
8,,completed,true,2024-02-15 11:21:26,,desktop,Windows,Chrome,GB,00:17:14,72.7%,100.0%,0.0%,0.0%,100.0%
9,,completed,true,2024-02-15 11:23:01,,desktop,OS X,Chrome,GB,00:12:57,75.0%,100.0%,0.0%,0.0%,100.0%
10,,abandoned,false,2024-02-21 13:17:44,,desktop,OS X,Chrome,SK,00:00:17,18.2%,0.0%,0.0%,0.0%,0.0%
11,,abandoned,false,2024-02-21 13:20:52,,desktop,OS X,Chrome,SK,00:00:19,0.0%,0.0%,0.0%,0.0%,0.0%
12,,completed,true,2024-02-21 13:29:53,,desktop,Windows,Chrome,GB,00:14:35,70.5%,100.0%,0.0%,0.0%,100.0%
13,,completed,true,2024-02-21 13:31:10,,desktop,Windows,Firefox,GB,00:12:18,88.6%,100.0%,0.0%,0.0%,100.0%
14,,completed,true,2024-02-21 13:31:39,,desktop,OS X,Chrome,GB,00:12:56,72.7%,100.0%,0.0%,0.0%,100.0%
15,,abandoned,false,2024-02-21 16:34:00,,smartphone,iOS,Safari,GB,,0.0%,0.0%,0.0%,0.0%,0.0%
16,,completed,true,2024-02-21 13:34:24,,desktop,OS X,Chrome,GB,00:08:16,72.7%,100.0%,0.0%,0.0%,100.0%
17,,completed,true,2024-02-21 13:36:06,,desktop,Windows,Firefox,GB,00:12:24,72.7%,100.0%,0.0%,0.0%,100.0%
18,,abandoned,false,2024-02-21 13:36:16,,desktop,Windows,Chrome,GB,00:01:36,0.0%,0.0%,0.0%,0.0%,0.0%
19,,completed,true,2024-02-21 13:36:16,,desktop,Windows,Chrome,NG,00:16:41,70.5%,100.0%,0.0%,0.0%,100.0%
20,,abandoned,false,2024-02-21 13:37:25,,desktop,OS X,Chrome,GB,00:03:11,22.7%,9.1%,0.0%,0.0%,9.1%
21,,completed,true,2024-02-21 13:37:49,,desktop,Chrome OS,Chrome,GB,00:11:01,70.5%,100.0%,0.0%,0.0%,100.0%
22,,completed,true,2024-02-21 13:38:10,,desktop,Windows,Chrome,GB,00:10:55,100.0%,100.0%,0.0%,0.0%,100.0%
23,,abandoned,false,2024-02-21 13:38:42,,desktop,Windows,Chrome,GB,00:03:21,18.2%,9.1%,0.0%,0.0%,9.1%
24,,completed,true,2024-02-21 13:38:56,,desktop,Windows,Chrome,GB,00:16:22,77.3%,100.0%,0.0%,0.0%,100.0%
25,,completed,true,2024-02-21 13:39:19,,desktop,Windows,Chrome,GB,00:07:44,72.7%,100.0%,0.0%,0.0%,100.0%
26,,completed,true,2024-02-21 13:40:01,,desktop,OS X,Safari,GB,00:09:30,72.7%,100.0%,0.0%,0.0%,100.0%
27,,abandoned,false,2024-02-21 13:40:12,,desktop,Windows,Chrome,GB,00:06:26,0.0%,0.0%,0.0%,0.0%,0.0%
28,,abandoned,false,2024-02-21 13:40:36,,desktop,OS X,Chrome,GB,00:01:48,0.0%,0.0%,0.0%,0.0%,0.0%
29,,completed,true,2024-02-21 13:41:25,,desktop,Windows,Chrome,GB,00:09:29,72.7%,100.0%,0.0%,0.0%,100.0%
30,,completed,true,2024-02-21 13:41:29,,desktop,Windows,Chrome,GB,00:09:51,72.7%,100.0%,0.0%,0.0%,100.0%
31,,abandoned,false,2024-02-21 13:41:36,,desktop,Windows,Chrome,GB,00:00:11,0.0%,0.0%,0.0%,0.0%,0.0%
32,,completed,true,2024-02-21 13:43:16,,desktop,OS X,Chrome,GB,00:08:48,100.0%,100.0%,0.0%,0.0%,100.0%
33,,abandoned,false,2024-02-21 13:43:16,,desktop,Chrome OS,Chrome,GB,00:07:31,27.3%,18.2%,0.0%,9.1%,18.2%
34,,abandoned,false,2024-02-21 13:44:50,,desktop,Windows,Chrome,GB,00:00:18,0.0%,0.0%,0.0%,0.0%,0.0%
35,,abandoned,false,2024-02-21 13:44:54,,desktop,Chrome OS,Chrome,GB,00:00:43,0.0%,0.0%,0.0%,0.0%,0.0%
36,,completed,true,2024-02-21 13:46:54,,desktop,Windows,Chrome,GB,00:09:52,72.7%,100.0%,0.0%,0.0%,100.0%
37,,abandoned,false,2024-02-21 13:46:03,,desktop,Windows,Edge,GB,00:01:13,0.0%,0.0%,0.0%,0.0%,0.0%
38,,completed,true,2024-02-21 13:46:08,,desktop,Windows,Chrome,GB,00:07:57,70.5%,100.0%,0.0%,0.0%,100.0%
39,,completed,true,2024-02-21 13:46:12,,desktop,Windows,Chrome,GB,00:15:52,72.7%,100.0%,0.0%,0.0%,100.0%
40,,completed,true,2024-02-21 13:46:18,,desktop,Windows,Chrome,GB,00:16:41,88.6%,100.0%,0.0%,0.0%,100.0%
41,,completed,true,2024-02-21 13:46:18,,desktop,OS X,Chrome,GB,00:24:35,75.0%,100.0%,0.0%,0.0%,100.0%
42,,completed,true,2024-02-21 13:49:07,,desktop,OS X,Chrome,GB,00:12:06,100.0%,100.0%,0.0%,0.0%,100.0%
43,,abandoned,false,2024-02-21 16:51:00,,desktop,OS X,Safari,GB,,0.0%,0.0%,0.0%,0.0%,0.0%
44,,completed,true,2024-02-21 13:51:57,,desktop,Windows,Chrome,GB,00:14:56,72.7%,100.0%,0.0%,0.0%,100.0%
45,,abandoned,false,2024-02-21 13:52:06,,desktop,Windows,Chrome,GB,00:00:29,0.0%,0.0%,0.0%,0.0%,0.0%
46,,completed,true,2024-02-21 13:54:46,,desktop,OS X,Chrome,GB,00:16:06,72.7%,100.0%,0.0%,0.0%,100.0%
47,,completed,true,2024-02-21 13:55:13,,desktop,Windows,Edge,GB,00:18:07,84.1%,100.0%,0.0%,0.0%,100.0%
48,,completed,true,2024-02-21 13:56:09,,desktop,Windows,Edge,GB,00:20:18,88.6%,100.0%,0.0%,0.0%,100.0%
49,,completed,true,2024-02-21 14:01:29,,desktop,Chrome OS,Chrome,GB,00:13:48,79.5%,100.0%,0.0%,0.0%,100.0%
50,,abandoned,false,,,desktop,Windows,Firefox,GB,,72.7%,100.0%,0.0%,0.0%,100.0%
